,review
108,"We were in Khao Lak for the second time and in this cozy hotel for the first time. We stayed for six nights. The hotel’s location is excellent near the center of Khao Lak and close to the beach. You can walk to the heart of the city in 10 minutes, of course this whole trip includes a lot of restaurants and little shops. In the center then dozens of choices. The beach is only about 150 meters! And the beach at the hotel is really gorgeous. The room was on the terrace facing the pool, opposite the bar. We were afraid the sounds of the bar would carry into the room, but the place was really quiet. The sound insulation is really good. The room was spacious and clean. The hotel area is beautiful and comfortable. The pool area is spacious and has plenty of sun loungers both right on the edge of the pool and in the lawn area. The bar service works well for both the pool and the room terrace, and drinks are reasonably priced. Happy our afternoons, drinks at half price. Breakfast was good and varied. Except for lunch, we did not otherwise dine at the hotel. We were on a self-guided trip and the hotel is reasonably priced compared to expensive beach resorts. However, the framework and service are excellent and value for money. And to the beach you can sip from the pool in a few minutes. We will be happy to come again. The hotel does not have chairs on the beach, but about 200 meters down the street from the main entrance is a beach restaurant with free beach chairs for guests. It is polite that at some point you even order a refreshment. And they are cheap. The food is also good and inexpensive. It is visited by a lot of people enjoying lunch."
109,I would definitely go again if the journey is in that direction. The wax stories were genuine and there were plenty of them
110,"Overall a very comfortable and high quality hotel. Slight wear in the room. Good service. The connection to the nearby bts station by boat is working properly. It didn’t bother at all that the hotel wasn’t next to the bts station. Good view of the 34th floor suite from both the river and the city. Two balconies with views. We always had elevators fast. Breakfast at once fantastic, it's worth having. The second bedroom had a slightly strange pee-like odor that remained almost imperceptible due to air conditioning."
111,Very nice snack with beer. Fried shrimps with garlic sauce. Very nice service too :) will come back.
112,"Coincidentally, we got lost in a place that turned out to be an excellent ""Japanese People's Cup."" The place is popular with locals (Japanese tourists) and does not favor. We sat on top of the beer baskets, side by side with the others but the atmosphere was real! Going and food really good! We ate the basic set: nigiri, shashimi, kyosa, miso soup and of course Asahi and sake for the ride boy. Was really good and value for money in place! I recommend!"
113,"Whiskeys with a little food enjoyed while quietly making music, what not? The discreet bar of the magnificent hotel complex, where you can still feel the wings of history, has a sophisticated atmosphere and very friendly service. However, the feeling is suitably relaxed, there is no way to go in an evening dress; )"
114,"We booked a villa with our own pool, which was very clean and the right size. A small lovely addition was another shower and bath on the outdoor terrace. either in the restaurant of the villa village or in the Lounge of the Centara Hotel itself with its little food. We ate at all the restaurants in the hotel and the food was really tasty everywhere. Special mention of a private dinner on the beach, absolutely awesome! The staff were super friendly and everything went as it should in that level of place. an absolute favorite in Hua Hin."
115,"We stayed one week in executive room with lounge benefits and breakfast. Room was A bit dated but service At restaurants, pool, reception, concierge... was best ever.Lounge meant there 2 hours free drinks and canapes daily At one of the bars.Service there was also phenomenal. They remembered  your room number, yesterdays drinks etc... Also At breakfast we got hot milkfoam cups with our names on top and nobody asked our room or names when we we’re guided to table.Also pool/fitness-area was nice and never too crowded.Area was nice for our taste and taxis we’re always easy to get when going to shopping or sights "
116,Siam is a huge place with many shopping complexes. Paragon is most upscale w Vuitton etc..Aircon is pleasant in whole place and What is nice for us europeans we get VAT back from shoppings over 2000bht. Paragon departmentstore had -20% off almost everything so we made many good deals from there.Vuitton store is not as big as in Gaysorn -mall so we recommend that especially if you are looking for mens collection
117,I like to visit here because the menu is varied and the service is prompt. Burgers are delicious but so are soups and other magic dishes. The hotel is always on the side of pattayacity but this has to be visited a few times.
